Talk,Name,Text,Delay
1,,서늘한 공기만이 날 감싼다.,1
2,,부모님과 함께 있을 때.. 그리고 무엇보다 집이라는 공간에서 소름이 끼칠정도로 서늘한 곳이 있을까,1
3,,포근했던 집... 아니 포근해야 하는 집이 이렇게나 무섭게 느껴진다면.. 무엇을 할 수 있을까..,1
4,,만약에 다른 곳이였다면 다신 그곳으로 가지 않으면 되지만... 지금같이 집이라면.. 그 곳이 집이라면 어쩌지..,1
5,,이런 생각이 온 몸을 덮쳤지만.. 하는 수 없었다.. 나아가지 않으면.. 아무것도 이루어 낼 수 없으니까,1
6,,서늘한 복도에 선 나는 주변을 둘러봤다.,1
7,,변함없는 내 집이었고 전에는 포근함이라는 것이 존재했던 곳이였다.,1
8,,그런 곳이 공포의 대상이라니 다시 생각해도 이상했다.,1
9,,어서 빨리 마지막 인형을 찾아야 해!!,1
10,,다시금 생각을 고쳐먹으면서,1
11,,그 어린나이에 스스로의 다짐을 외치며,1
12,,"꼭 모두 불태울거야!",1
13,,자신만만했던 그 모습은 얼마가지 못했다.,1
14,,,1
