Talk,Name,Text,Delay
1,,"이걸로 된거야.. 정말이야.. 이걸로 된거야",1
2,,다행히도 딱히 저항이라고 할만한게 없었다,1
3,,온갖 생각을 한 자신이 좀 부끄러웠지만.. 뭐 그래도 다행이다,1
4,,그때 마침 노을 지는 상황이였고 그 뜻은 곧 부모님이 돌아온다는 것이였다,1
5,,숨을 크게 내쉬었다. 어린 초등학생이 겪기에는 많이 큰 일이였다.,1
6,,바람은 살랑살랑 흩날렸고 다행이 불도 인형이 다 타서 재가 되니 꺼졌다.,1
7,,뭔가 꺼림직한게 있긴 했지만(너무 쉬웠던 나머지)그래도 할 수 있는 건 다 했다,1
8,,그때 일은 이후 부모님이 오면서 일단락 됐다.,1
9,,다행히 그 이후로부터 이상한 일은 나타나지 않았고 평상시와 같은 일상이 시작되었다.,1
10,,…...,1
11,,물론 지금 그때의 추억을 회상하고 있는 나는 공허하다.,1
12,,왜인지는 모르겠지만 이 옛날 추억을 회상하면 이러한 기분이 든다. ,1
13,,지금 생각해보면 무서운 일이였지만 다 해결되었으니 추억이라고 부른다.,1
14,,그리고 이 일을 책으로 쓰면 어떨까 해서 글로 적고 있다,1
15,,흠…,1
16,,근데 정말 저주는….그 저주들은...,1
17,,사라졌을까?,1
18,,,1
